SITE_CODE,SHORT_TITLE,TITLE,STAGE,PROJECT_TITLE,LONGITUDE,LATITUDE,EASTING,NORTHING,MGA_ZONE,COMMODITIES,COMMODITY_GROUP_NAME,TARGET_GROUP_NAME,EXTRACT_DATE
S0003098,Dolly Pot,Dolly Pot,Operating,Marda / Southern Cross,119.258698,-30.19759,717441,6657163,50,Au Ag,Precious metal,GOLD,20221018
S0003101,Kanowna Belle,Kanowna Belle,Operating,Kanowna - Golden Valley,121.578007,-30.608995,363690,6612868,51,Au Ag,Precious metal,GOLD,20221018
S0003173,Bullen - Mainfield,Bullen,Operating,Central Norseman,121.798698,-32.197948,386771,6436990,51,Au Ag,Precious metal,GOLD,20221018
S0003201,Hannans N Tourist,Hannans North Tourist Mine,Operating,Hannans North Tourist Mine,121.470596,-30.72789,353573,6599555,51,Au Ag,Precious metal,GOLD,20221018
S0003246,Genesis UG,Genesis Underground,Operating,Agnew - Emu,120.497002,-27.978439,253806,6902662,51,Au Ag,Precious metal,GOLD,20221018
S0003253,Triton North UG,Triton North Underground,Operating,Cue Gold - Central Murchison,118.268303,-27.131821,625694,6998330,50,Au Ag,Precious metal,GOLD,20221018
S0003254,South Emu UG,South Emu - Triton Underground,Operating,Cue Gold - Central Murchison,118.266899,-27.13797,625548,6997650,50,Au Ag,Precious metal,GOLD,20221018
S0003258,Triton UG,Triton Underground,Operating,Cue Gold - Central Murchison,118.2677,-27.13336,625632,6998160,50,Au Ag,Precious metal,GOLD,20221018
S0003362,Jasper Hill,Jasper Hill - Redcliffe,Operating,Gwalia - Leonora,121.223602,-28.757,326561,6817642,51,Au Ag,Precious metal,GOLD,20221018
S0003391,Norton,Norton - Nevoria,Operating,Marvel Loch - Southern Cross,119.592796,-31.50873,746238,6511102,50,Au Ag,Precious metal,GOLD,20221018
S0003392,Hidden Secret,Hidden Secret - Kalgoorlie,Operating,Golden Mile / KCGM,121.488098,-30.745911,355275,6597581,51,Au,Precious metal,GOLD,20221018
S0003533,Nimary 3,Nimary Three,Operating,Jundee - Nimary,120.594002,-26.37397,259938,7080660,51,Au Ag,Precious metal,GOLD,20221018
S0003696,Mousehollow,Mousehollow,Under Development,Higginsville,121.819011,-31.784391,388185,6482855,51,Au Ag,Precious metal,GOLD,20221018
S0003738,Hill 60 UG,Hill 60 Underground,Operating,Mt Magnet,117.833877,-28.073274,581935,6894400,50,Au Ag,Precious metal,GOLD,20221018
S0003744,Bulletin,Bulletin - Bamboo Creek,Operating,Bamboo Creek Gold,120.240997,-20.949409,213080,7680980,51,Au Ag,Precious metal,GOLD,20221018
S0003756,Golden Pike,Golden Pike,Operating,Golden Mile / KCGM,121.502066,-30.776552,356657,6594202,51,Au Ag,Precious metal,GOLD,20221018
S0003779,Happy Jack-Tirau,Happy Jack - Tirau Underground,Operating,Matilda,120.239403,-26.619221,225126,7052770,51,Au Ag,Precious metal,GOLD,20221018
S0003806,Scotia S,Scotia South,Operating,Central Norseman,121.791702,-32.476181,386459,6406138,51,Au,Precious metal,GOLD,20221018
S0003807,Scotia N,Scotia North,Operating,Central Norseman,121.792603,-32.470928,386538,6406721,51,Au Ag,Precious metal,GOLD,20221018
S0003820,Tank,Tank,Operating,Aldiss - Karonie,122.559442,-31.071025,457972,6562443,51,Au Ag,Precious metal,GOLD,20221018
S0003851,Rumbles,Rumbles Open Pit,Operating,Randalls - Mt Monger,122.188267,-31.068289,422561,6562547,51,Au Ag,Precious metal,GOLD,20221018
S0003919,Great Western,Great Western / Red 5,Operating,Great Western,121.180492,-28.317054,321611,6866331,51,Au Ag,Precious metal,GOLD,20221018
S0003942,Westralia UG,Westralia Deeps - Mt Morgans Underground,Operating,Mt Morgans,122.0679,-28.769622,409011,6817182,51,Au Ag,Precious metal,GOLD,20221018
S0003946,Gordon-Sirdar,Gordon-Sirdar Openpit,Operating,Gordon - Sirdar,121.594498,-30.45035,365052,6630472,51,Au Ag,Precious metal,GOLD,20221018
S0004141,Deflector,Deflector Central,Operating,Deflector,116.379426,-28.669106,439364,6828516,50,Au Cu Ag,Precious metal,GOLD,20221018
S0004149,Salmon,Salmon - Salmon East and North,Operating,Plutonic Gold,119.545403,-25.299311,756284,7199475,50,Au Ag,Precious metal,GOLD,20221018
S0004153,Million Dollar South,Million Dollar South,Operating,Porphyry - Northern Operations,122.285777,-29.804468,430979,6702667,51,Au Ag,Precious metal,GOLD,20221018
S0004154,Kirkalocka,Curara Well - Kirkalocka,Operating,Kirkalocka,117.761538,-28.674935,574406,6827791,50,Au Ag,Precious metal,GOLD,20221018
