site_code,short_title,stage,longitude,latitude,target_group_name
S0021183,Southern Detritals,Operating,117.846121,-23.318363,IRON ORE
S0021265,Eyre,Operating,119.849593,-22.379427,IRON ORE
S0021378,W3E,Operating,120.115303,-23.373011,IRON ORE
S0021415,Western 4,Operating,119.023697,-22.732599,IRON ORE
S0021416,Marillana Ck W5,Under Development,119.048599,-22.7293,IRON ORE
S0021419,Marillana Ck E1,Operating,119.098701,-22.73716,IRON ORE
S0021420,Marillana Ck E3,Operating,119.126404,-22.75844,IRON ORE
S0021422,Marillana Ck E5,Operating,119.134499,-22.76412,IRON ORE
S0021423,Marillana Ck E6,Operating,119.138397,-22.768881,IRON ORE
S0021606,24E,Operating,117.652603,-23.256321,IRON ORE
S0021820,Joyners Find - JWD,Operating,119.954639,-26.791821,IRON ORE
S0022015,Phils Creek,Operating,119.187809,-22.737048,IRON ORE
S0022158,Pit3 E,Operating,117.229616,-22.596942,IRON ORE
S0022159,Pit2 Interim,Operating,117.178072,-22.609483,IRON ORE
S0022230,Brockman 2 Pit 7,Operating,117.369301,-22.441111,IRON ORE
S0022265,Split Rock,Operating,119.666135,-21.47369,IRON ORE
S0022532,Cardo Bore East,Under Development,116.22877,-22.193978,IRON ORE
S0022686,C4,Operating,119.937302,-26.680361,IRON ORE
S0022812,Paulsens East Main Pit,Operating,116.336959,-22.562845,IRON ORE
S0022821,North MM East Pits,Under Development,119.074177,-23.127015,IRON ORE
S0022842,Cardo Bore NW,Under Development,116.213501,-22.148736,IRON ORE
S0022843,Kens Bore,Under Development,116.195794,-22.055688,IRON ORE
S0023052,Kangaroo,Operating,119.260399,-22.285521,IRON ORE
S0023054,Hayman,Operating,119.402367,-22.33364,IRON ORE
S0023105,Iron Ridge,Operating,117.684502,-26.943939,IRON ORE
S0023219,Cochrane,Under Development,116.132459,-21.921578,IRON ORE
S0023220,Jewel CID,Under Development,116.138186,-21.935159,IRON ORE
S0023281,West End,Operating,116.830554,-22.493687,IRON ORE
S0023347,Mungada East Ext,Operating,116.888651,-29.140225,IRON ORE
S0023551,Catho Well North,Under Development,116.24486,-22.380591,IRON ORE
S0023552,Trinity Bore Iron,Under Development,116.336662,-22.354352,IRON ORE
S0023559,Kings,Operating,117.869826,-22.159468,IRON ORE
S0023569,Mt Caudan Central,Operating,119.555621,-31.614569,IRON ORE
S0023644,Firetail North,Operating,117.925752,-22.117679,IRON ORE
S0032004,Kens Bore East,Under Development,116.221882,-22.076233,IRON ORE
S0222904,Marandoo MMP2 Pit,Operating,118.167892,-22.649534,IRON ORE
S0222918,Coondiner HD4 Central,Operating,119.53912,-23.133013,IRON ORE
S0222919,Coondiner HD4 South,Operating,119.519623,-23.146805,IRON ORE
S0222920,Coondiner HD4 West,Operating,119.504036,-23.136219,IRON ORE
S0223403,Fender,Operating,119.29855,-21.543976,IRON ORE
S0223601,Sandtrax - Prancer,Under Development,119.188902,-21.111396,IRON ORE
S0223629,Central MM,Operating,119.003195,-23.14472,IRON ORE
S0223630,SMM East,Under Development,118.991075,-23.164236,IRON ORE
S0223643,Daltons,Operating,119.308488,-21.530189,IRON ORE
S0223837,Queens,Operating,117.769485,-22.128667,IRON ORE
S0223838,Trinity - Solomon,Operating,117.846853,-22.122345,IRON ORE
S0224200,Firetail South,Operating,117.918,-22.141,IRON ORE
S0224380,Iron Valley Stage 1,Operating,119.312614,-22.731714,IRON ORE
S0224627,Flinders,Operating,119.720226,-22.37121,IRON ORE
S0224628,Mokare,Operating,119.76394,-22.363306,IRON ORE
S0224650,OB 18 East,Operating,120.057303,-23.320586,IRON ORE
S0224652,OB 25 - Pit 4,Operating,119.784358,-23.332051,IRON ORE
S0224710,Deception,Operating,119.280916,-29.850399,IRON ORE
S0224836,North Star magnetite,Under Development,119.053588,-21.250187,IRON ORE
S0225517,The Claw,Operating,119.26769,-29.857519,IRON ORE
S0225706,W3W,Operating,120.106096,-23.373013,IRON ORE
S0225753,Cocos,Operating,119.501622,-22.343763,IRON ORE
S0225754,Long,Operating,119.462954,-22.343211,IRON ORE
S0225755,Baudin,Operating,119.862692,-22.380857,IRON ORE
